region,zone,district,pop_2017,pop_2018,pop_2019,pop_2020
region_08,zone_84,district_213,179921.8189,185859.2389,191992.5938,198328.3494
region_08,zone_60,district_289,217451.0853,224626.9711,232039.6612,239696.97
region_08,zone_81,district_273,89960.05928,92928.74123,95995.3897,99163.23756
region_08,zone_05,district_183,82888.46545,85623.7848,88449.3697,91368.1989
region_08,zone_84,district_143,61517.25532,63547.32475,65644.38647,67810.65122
region_08,zone_81,district_108,6547.047861,6763.100441,6986.282755,7216.830086
region_08,zone_82,district_105,55014.41555,56829.89126,58705.27768,60642.55184
region_08,zone_45,district_138,84812.36745,87611.17557,90502.34437,93488.92173
region_08,zone_21,district_086,38500.14407,39770.64882,41083.08023,42438.82188
region_08,zone_45,district_208,107926.3964,111487.9675,115167.0704,118967.5838
region_08,zone_05,district_243,154523.4219,159622.6948,164890.2438,170331.6218
region_08,zone_60,district_089,105935.3321,109431.1981,113042.4276,116772.8278
region_08,zone_83,district_021,117176.9389,121043.7779,125038.2226,129164.4839
region_08,zone_48,district_298,110301.731,113941.6882,117701.7639,121585.9221
region_08,zone_78,district_259,44349.21422,45812.73829,47324.55866,48886.26909
region_08,zone_82,district_157,145727.7126,150536.7272,155504.4392,160636.0856
region_08,zone_75,district_150,30537.58722,31545.3276,32586.32341,33661.67208
region_08,zone_60,district_296,156575.6974,161742.6954,167080.2044,172593.8511
region_08,zone_35,district_010,99602.52348,102889.4068,106284.7572,109792.1542
region_08,zone_05,district_280,62176.97603,64228.81624,66348.36717,68537.86329
region_08,zone_12,district_297,94297.55288,97409.37212,100623.8814,103944.4695
region_08,zone_45,district_093,60263.27589,62251.964,64306.27881,66428.38601
region_08,zone_78,district_030,174870.1946,180640.911,186602.0611,192759.9291
region_08,zone_82,district_135,152153.1883,157174.2435,162360.9935,167718.9063
region_08,zone_45,district_218,21294.69612,21997.42109,22723.33599,23473.20608
region_08,zone_45,district_013,67570.36281,69800.18479,72103.59088,74483.00938
region_08,zone_05,district_265,32787.0988,33869.07306,34986.75247,36141.3153
region_08,zone_84,district_154,63180.15957,65265.10484,67418.8533,69643.67546
region_08,zone_35,district_012,63180.15957,65738.46039,67907.82959,70148.78796
region_08,zone_35,district_284,65546.14246,67709.16516,69943.56761,72251.70534
region_08,zone_41,district_181,40369.63611,41701.8341,43077.99463,44499.56845
region_08,zone_24,district_144,79543.10337,82168.02578,84879.57063,87680.59646
region_08,zone_23,district_037,34497.61175,35636.03294,36812.02203,38026.81876
region_08,zone_30,district_251,296053.9166,305823.6959,315915.8779,326341.1018
region_08,zone_41,district_155,34468.70647,35606.17378,36781.17751,37994.95637
region_12,zone_47,district_285,45191.71837,46683.04508,48223.58556,49814.96389
region_12,zone_67,district_299,108329.3702,111904.2394,115597.0793,119411.7829
region_12,zone_11,district_092,80384.75736,83037.45435,85777.69035,88608.35413
region_12,zone_57,district_221,84113.53959,86889.28639,89756.63284,92718.60173
region_12,zone_11,district_234,45762.17274,47272.32444,48832.31115,50443.77742
region_12,zone_47,district_054,76667.02716,79197.03905,81810.54134,84510.28921
region_12,zone_17,district_278,50353.86285,52015.54032,53732.05315,55505.21091
region_12,zone_11,district_267,121648.7571,125663.1661,129810.0506,134093.7822
region_12,zone_47,district_072,185092.4649,191200.5162,197510.1333,204027.9677
region_12,zone_57,district_212,8706.442949,8993.755566,9290.5495,9597.137633
region_12,zone_57,district_220,24449.62335,25256.46092,26089.92413,26950.89163
region_12,zone_17,district_136,19730.40992,20381.51344,21054.10339,21748.8888
region_12,zone_57,district_272,59663.06608,61631.94726,63665.80152,65766.77297
region_12,zone_17,district_210,146157.0412,150980.2236,155962.5709,161109.3358
region_12,zone_57,district_050,119082.1375,123011.8481,127071.239,131264.5899
region_12,zone_52,district_195,127297.1906,131497.9978,135837.4318,140320.067
region_03,zone_22,district_091,19346.13961,19984.56222,20644.05277,21325.30651
